6.4;0.57;0.14;3.9;0.07;27;73;0.99669;3.32;0.48;9.2;5
8.6;0.685;0.1;1.6;0.092;3;12;0.99745;3.31;0.65;9.55;6
8.7;0.675;0.1;1.6;0.09;4;11;0.99745;3.31;0.65;9.55;5
7.3;0.59;0.26;2;0.08;17;104;0.99584;3.28;0.52;9.9;5
7;0.6;0.12;2.2;0.083;13;28;0.9966;3.52;0.62;10.2;7
7.2;0.67;0;2.2;0.068;10;24;0.9956;3.42;0.72;11.1;6
7.9;0.69;0.21;2.1;0.08;33;141;0.9962;3.25;0.51;9.9;5
7.9;0.69;0.21;2.1;0.08;33;141;0.9962;3.25;0.51;9.9;5
7.6;0.3;0.42;2;0.052;6;24;0.9963;3.44;0.82;11.9;6
7.2;0.33;0.33;1.7;0.061;3;13;0.996;3.23;1.1;10;8
8;0.5;0.39;2.6;0.082;12;46;0.9985;3.43;0.62;10.7;6
7.7;0.28;0.3;2;0.062;18;34;0.9952;3.28;0.9;11.3;7
8.2;0.24;0.34;5.1;0.062;8;22;0.9974;3.22;0.94;10.9;6
6;0.51;0;2.1;0.064;40;54;0.995;3.54;0.93;10.7;6
8.1;0.29;0.36;2.2;0.048;35;53;0.995;3.27;1.01;12.4;7
6;0.51;0;2.1;0.064;40;54;0.995;3.54;0.93;10.7;6
6.6;0.96;0;1.8;0.082;5;16;0.9936;3.5;0.44;11.9;6
6.4;0.47;0.4;2.4;0.071;8;19;0.9963;3.56;0.73;10.6;6
8.2;0.24;0.34;5.1;0.062;8;22;0.9974;3.22;0.94;10.9;6
9.9;0.57;0.25;2;0.104;12;89;0.9963;3.04;0.9;10.1;5
10;0.32;0.59;2.2;0.077;3;15;0.9994;3.2;0.78;9.6;5
6.2;0.58;0;1.6;0.065;8;18;0.9966;3.56;0.84;9.4;5
10;0.32;0.59;2.2;0.077;3;15;0.9994;3.2;0.78;9.6;5
7.3;0.34;0.33;2.5;0.064;21;37;0.9952;3.35;0.77;12.1;7
7.8;0.53;0.01;1.6;0.077;3;19;0.995;3.16;0.46;9.8;5
7.7;0.64;0.21;2.2;0.077;32;133;0.9956;3.27;0.45;9.9;5
7.8;0.53;0.01;1.6;0.077;3;19;0.995;3.16;0.46;9.8;5
7.5;0.4;0.18;1.6;0.079;24;58;0.9965;3.34;0.58;9.4;5
7;0.54;0;2.1;0.079;39;55;0.9956;3.39;0.84;11.4;6
6.4;0.53;0.09;3.9;0.123;14;31;0.9968;3.5;0.67;11;4
8.3;0.26;0.37;1.4;0.076;8;23;0.9974;3.26;0.7;9.6;6
8.3;0.26;0.37;1.4;0.076;8;23;0.9974;3.26;0.7;9.6;6
7.7;0.23;0.37;1.8;0.046;23;60;0.9971;3.41;0.71;12.1;6
7.6;0.41;0.33;2.5;0.078;6;23;0.9957;3.3;0.58;11.2;5
7.8;0.64;0;1.9;0.072;27;55;0.9962;3.31;0.63;11;5
7.9;0.18;0.4;2.2;0.049;38;67;0.996;3.33;0.93;11.3;5
7.4;0.41;0.24;1.8;0.066;18;47;0.9956;3.37;0.62;10.4;5
7.6;0.43;0.31;2.1;0.069;13;74;0.9958;3.26;0.54;9.9;6
5.9;0.44;0;1.6;0.042;3;11;0.9944;3.48;0.85;11.7;6
6.1;0.4;0.16;1.8;0.069;11;25;0.9955;3.42;0.74;10.1;7
10.2;0.54;0.37;15.4;0.214;55;95;1.00369;3.18;0.77;9;6
10.2;0.54;0.37;15.4;0.214;55;95;1.00369;3.18;0.77;9;6
10;0.38;0.38;1.6;0.169;27;90;0.99914;3.15;0.65;8.5;5
